#Seq_id        Length(bp)     Circularity    Closely_related_species
C141597        1843           no             Spratelloides delicatulus


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
C141597        2      870    869        -          CDS    ND4        NADH dehydrogenase subunit 4      1              
C141597        863    1160   298        -          CDS    ND4L       NADH dehydrogenase subunit 4L     1              
C141597        1160   1230   71         -          tRNA   trnR(ucg)  tRNA-Arg                          1              
C141597        1228   1579   352        -          CDS    ND3        NADH dehydrogenase subunit 3      1              
C141597        1579   1651   73         -          tRNA   trnG(ucc)  tRNA-Gly                          1              
C141597        1595   >1844  250        -          CDS    COX3       cytochrome c oxidase subunit III  1              


Protein coding genes totally found:  4
tRNA genes totally found:            2
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                 6


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
ATP6                                 1
ATP8                                 1
COX1                                 1
COX2                                 1
CYTB                                 1
ND1                                  1
ND2                                  1
ND5                                  1
ND6                                  1
l-rRNA                               1
s-rRNA                               1
tRNA-Ala                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Gln                             1
tRNA-Glu                             1
tRNA-His                             1
tRNA-Ile                             1
tRNA-Leu                             2
tRNA-Lys                             1
tRNA-Met                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             2
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
