#Seq_id        Length(bp)     Circularity    Closely_related_species
C23390         2838           no             Spratelloides delicatulus
C23216         831            no             Spratelloides delicatulus


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
C23216         1      >832   832        +          CDS    ND5        NADH dehydrogenase subunit 5      1              
C23390         <3     876    874        -          CDS    ND4        NADH dehydrogenase subunit 4      1              
C23390         869    1166   298        -          CDS    ND4L       NADH dehydrogenase subunit 4L     1              
C23390         1166   1236   71         -          tRNA   trnR(ucg)  tRNA-Arg                          1              
C23390         1234   1585   352        -          CDS    ND3        NADH dehydrogenase subunit 3      1              
C23390         1585   1657   73         -          tRNA   trnG(ucc)  tRNA-Gly                          1              
C23390         1656   2441   786        -          CDS    COX3       cytochrome c oxidase subunit III  1              
C23390         2440   2818   379        -          CDS    ATP6       ATP synthase F0 subunit 6         1              


Protein coding genes totally found:  6
tRNA genes totally found:            2
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                 8


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
ATP8                                 1
COX1                                 1
COX2                                 1
CYTB                                 1
ND1                                  1
ND2                                  1
ND6                                  1
l-rRNA                               1
s-rRNA                               1
tRNA-Ala                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Gln                             1
tRNA-Glu                             1
tRNA-His                             1
tRNA-Ile                             1
tRNA-Leu                             2
tRNA-Lys                             1
tRNA-Met                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             2
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
