#Seq_id        Length(bp)     Circularity    Closely_related_species
C91277         777            no             Spratelloides delicatulus
C90543         586            no             Spratelloides delicatulus


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
C90543         <1     409    409        -          CDS    CYTB       cytochrome b                      1              
C90543         413    481    69         +          tRNA   trnE(uuc)  tRNA-Glu                          1              
C90543         481    587    107        +          CDS    ND6        NADH dehydrogenase subunit 6      1              
C91277         2      399    398        -          CDS    COX2       cytochrome c oxidase subunit II   1              
C91277         409    479    71         -          tRNA   trnD(guc)  tRNA-Asp                          1              
C91277         483    554    72         +          tRNA   trnS(uga)  tRNA-Ser                          1              


Protein coding genes totally found:  3
tRNA genes totally found:            3
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                 6


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
ATP6                                 1
ATP8                                 1
COX1                                 1
COX3                                 1
ND1                                  1
ND2                                  1
ND3                                  1
ND4                                  1
ND4L                                 1
ND5                                  1
l-rRNA                               1
s-rRNA                               1
tRNA-Ala                             1
tRNA-Arg                             1
tRNA-Asn                             1
tRNA-Cys                             1
tRNA-Gln                             1
tRNA-Gly                             1
tRNA-His                             1
tRNA-Ile                             1
tRNA-Leu                             2
tRNA-Lys                             1
tRNA-Met                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             1
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
