#Seq_id        Length(bp)     Circularity    Closely_related_species
scaffold818    2657           no             Spratelloides delicatulus


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
scaffold818    <1     1126   1126       +          CDS    ND4        NADH dehydrogenase subunit 4      1              
scaffold818    1121   1190   70         +          tRNA   trnH(gug)  tRNA-His                          1              
scaffold818    1190   1257   68         +          tRNA   trnS(gcu)  tRNA-Ser                          1              
scaffold818    1257   1329   73         +          tRNA   trnL(uag)  tRNA-Leu                          1              
scaffold818    1329   >2658  1330       +          CDS    ND5        NADH dehydrogenase subunit 5      1              


Protein coding genes totally found:  2
tRNA genes totally found:            3
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                 5


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
ATP6                                 1
ATP8                                 1
COX1                                 1
COX2                                 1
COX3                                 1
CYTB                                 1
ND1                                  1
ND2                                  1
ND3                                  1
ND4L                                 1
ND6                                  1
l-rRNA                               1
s-rRNA                               1
tRNA-Ala                             1
tRNA-Arg                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Gln                             1
tRNA-Glu                             1
tRNA-Gly                             1
tRNA-Ile                             1
tRNA-Leu                             1
tRNA-Lys                             1
tRNA-Met                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             1
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
