#Seq_id        Length(bp)     Circularity    Closely_related_species
C66803         480            no             Spratelloides gracilis
C68759         3562           no             Spratelloides delicatulus


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
C66803         <3     >480   478        -          CDS    ND5        NADH dehydrogenase subunit 5      1              
C68759         <3     324    322        +          CDS    ATP6       ATP synthase F0 subunit 6         1              
C68759         323    1108   786        +          CDS    COX3       cytochrome c oxidase subunit III  1              
C68759         1107   1179   73         +          tRNA   trnG(ucc)  tRNA-Gly                          1              
C68759         1179   1530   352        +          CDS    ND3        NADH dehydrogenase subunit 3      1              
C68759         1528   1598   71         +          tRNA   trnR(ucg)  tRNA-Arg                          1              
C68759         1598   1895   298        +          CDS    ND4L       NADH dehydrogenase subunit 4L     1              
C68759         1888   3274   1387       +          CDS    ND4        NADH dehydrogenase subunit 4      1              
C68759         3269   3338   70         +          tRNA   trnH(gug)  tRNA-His                          1              
C68759         3338   3405   68         +          tRNA   trnS(gcu)  tRNA-Ser                          1              
C68759         3405   3477   73         +          tRNA   trnL(uag)  tRNA-Leu                          1              


Protein coding genes totally found:  6
tRNA genes totally found:            5
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                11


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
ATP8                                 1
COX1                                 1
COX2                                 1
CYTB                                 1
ND1                                  1
ND2                                  1
ND6                                  1
l-rRNA                               1
s-rRNA                               1
tRNA-Ala                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Gln                             1
tRNA-Glu                             1
tRNA-Ile                             1
tRNA-Leu                             1
tRNA-Lys                             1
tRNA-Met                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             1
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
