#Seq_id        Length(bp)     Circularity    Closely_related_species
C34922         870            no             Lutjanus johnii     


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
C34922         118    190    73         +          tRNA   trnW(uca)  tRNA-Trp                          1              
C34922         193    262    70         -          tRNA   trnA(ugc)  tRNA-Ala                          1              
C34922         263    336    74         -          tRNA   trnN(guu)  tRNA-Asn                          1              
C34922         367    433    67         -          tRNA   trnC(gca)  tRNA-Cys                          1              
C34922         434    505    72         -          tRNA   trnY(gua)  tRNA-Tyr                          1              
C34922         497    >869   373        +          CDS    COX1       cytochrome c oxidase subunit I    1              


Protein coding genes totally found:  1
tRNA genes totally found:            5
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                 6


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
ATP6                                 1
ATP8                                 1
COX2                                 1
COX3                                 1
CYTB                                 1
ND1                                  1
ND2                                  1
ND3                                  1
ND4                                  1
ND4L                                 1
ND5                                  1
ND6                                  1
l-rRNA                               1
s-rRNA                               1
tRNA-Arg                             1
tRNA-Asp                             1
tRNA-Gln                             1
tRNA-Glu                             1
tRNA-Gly                             1
tRNA-His                             1
tRNA-Ile                             1
tRNA-Leu                             2
tRNA-Lys                             1
tRNA-Met                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             2
tRNA-Thr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
