#Seq_id        Length(bp)     Circularity    Closely_related_species
scaffold262    1277           no             Spratelloides delicatulus
C44814         1750           no             Spratelloides delicatulus


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
scaffold262    4      73     70         -          tRNA   trnH(gug)  tRNA-His                          1              
scaffold262    68     1253   1186       -          CDS    ND4        NADH dehydrogenase subunit 4      1              
C44814         <6     708    703        +          CDS    ND1        NADH dehydrogenase subunit 1      1              
C44814         712    784    73         +          tRNA   trnI(gau)  tRNA-Ile                          1              
C44814         783    854    72         -          tRNA   trnQ(uug)  tRNA-Gln                          1              
C44814         853    922    70         +          tRNA   trnM(cau)  tRNA-Met                          1              
C44814         922    >1750  829        +          CDS    ND2        NADH dehydrogenase subunit 2      1              


Protein coding genes totally found:  3
tRNA genes totally found:            4
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                 7


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
ATP6                                 1
ATP8                                 1
COX1                                 1
COX2                                 1
COX3                                 1
CYTB                                 1
ND3                                  1
ND4L                                 1
ND5                                  1
ND6                                  1
l-rRNA                               1
s-rRNA                               1
tRNA-Ala                             1
tRNA-Arg                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Glu                             1
tRNA-Gly                             1
tRNA-Leu                             2
tRNA-Lys                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             2
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
