#Seq_id        Length(bp)     Circularity    Closely_related_species
C10725         1269           no             Siganus vulpinus    
C10737         1670           no             Lethrinus obsoletus 


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
C10725         <2     395    394        -          CDS    ND2        NADH dehydrogenase subunit 2      1              
C10725         395    465    71         -          tRNA   trnM(cau)  tRNA-Met                          1              
C10725         464    535    72         +          tRNA   trnQ(uug)  tRNA-Gln                          1              
C10725         534    605    72         -          tRNA   trnI(gau)  tRNA-Ile                          1              
C10725         609    1263   655        -          CDS    ND1        NADH dehydrogenase subunit 1      1              
C10737         <1     979    979        -          CDS    ND4        NADH dehydrogenase subunit 4      1              
C10737         972    1269   298        -          CDS    ND4L       NADH dehydrogenase subunit 4L     1              
C10737         1269   1338   70         -          tRNA   trnR(ucg)  tRNA-Arg                          1              
C10737         1336   1669   334        -          CDS    ND3        NADH dehydrogenase subunit 3      1              


Protein coding genes totally found:  5
tRNA genes totally found:            4
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                 9


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
ATP6                                 1
ATP8                                 1
COX1                                 1
COX2                                 1
COX3                                 1
CYTB                                 1
ND5                                  1
ND6                                  1
l-rRNA                               1
s-rRNA                               1
tRNA-Ala                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Glu                             1
tRNA-Gly                             1
tRNA-His                             1
tRNA-Leu                             2
tRNA-Lys                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             2
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
