#Seq_id        Length(bp)     Circularity    Closely_related_species
C92795         1222           no             Spratelloides delicatulus
C91283         511            no             Spratelloides delicatulus
C89079         387            no             Coilia brachygnathus


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
C89079         10     268    259        +          CDS    ATP6       ATP synthase F0 subunit 6         1              
C89079         267    >387   121        +          CDS    COX3       cytochrome c oxidase subunit III  1              
C91283         6      414    409        +          CDS    ND1        NADH dehydrogenase subunit 1      1              
C91283         418    490    73         +          tRNA   trnI(gau)  tRNA-Ile                          1              
C92795         <3     >1221  1219       +          CDS    ND5        NADH dehydrogenase subunit 5      1              


Protein coding genes totally found:  4
tRNA genes totally found:            1
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                 5


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
ATP8                                 1
COX1                                 1
COX2                                 1
CYTB                                 1
ND2                                  1
ND3                                  1
ND4                                  1
ND4L                                 1
ND6                                  1
l-rRNA                               1
s-rRNA                               1
tRNA-Ala                             1
tRNA-Arg                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Gln                             1
tRNA-Glu                             1
tRNA-Gly                             1
tRNA-His                             1
tRNA-Leu                             2
tRNA-Lys                             1
tRNA-Met                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             2
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
