#Seq_id        Length(bp)     Circularity    Closely_related_species
C12521         341            no             Pygoplites diacanthus
C12795         411            no             Krobia guianensis   
C2091          214            no             Minimugil cascasia  
C11267         261            no             Centropyge bispinosa
C12903         515            no             Oxyeleotris lineolata


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
C2091          <2     >215   214        +          CDS    ND3        NADH dehydrogenase subunit 3      1              
C11267         <1     241    241        -          CDS    ND1        NADH dehydrogenase subunit 1      1              
C12521         96     333    238        -          CDS    ND6        NADH dehydrogenase subunit 6      1              
C12795         <1     394    394        -          CDS    ND5        NADH dehydrogenase subunit 5      1              
C12903         39     513    475        -          CDS    COX2       cytochrome c oxidase subunit II   1              


Protein coding genes totally found:  5
tRNA genes totally found:            0
rRNA genes totally found:            0
--------------------------------------
Genes totally found:                 5


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
ATP6                                 1
ATP8                                 1
COX1                                 1
COX3                                 1
CYTB                                 1
ND2                                  1
ND4                                  1
ND4L                                 1
l-rRNA                               1
s-rRNA                               1
tRNA-Ala                             1
tRNA-Arg                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Gln                             1
tRNA-Glu                             1
tRNA-Gly                             1
tRNA-His                             1
tRNA-Ile                             1
tRNA-Leu                             2
tRNA-Lys                             1
tRNA-Met                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             2
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

The missing genes might be foud from the
'*.high_abundance*' and '*.low_abundance*' files!
